year,gunControl,gunRights,gunManufacturing
1998,160000,4498393,530000
1999,840000,5891966,795000
2000,440000,6710758,500000
2001,2113699,6236161,708000
2002,1842054,5684546,660000
2003,1021665,4283326,672000
2004,1352346,4342400,880000
2005,230000,4070587,1395000
2006,90100,3184231,1400000
2007,208374,3962242,1368000
2008,150000,4128771,1398000
2009,251425,5209870,1594000
2010,290000,5847597,1585000
2011,280000,5580651,1375000
2012,250000,6129911,979500
2013,2217765,15292052,850000
2014,1942396,12013482,817500
2015,1678956,11406347,1010000
2016,1657992,11181199,1120000
2017,1942415,11440684,1334000
2018,2039212,12453572,1161000
2019,1800000,8164488,1210000
